3081443	yor	Mo ní ológbò méjì.
3143475	yor	Ẹṣin jẹ́ funfun.
3143477	yor	Ẹṣin kìí ṣe funfun.
3143483	yor	Ẹṣin yìí jẹ́ funfun.
3143485	yor	Ẹṣin náà jẹ́ funfun.
3143486	yor	Ẹṣin yìí kìí ṣe funfun.
3143487	yor	Ẹṣin náà kìí ṣe funfun.
3143489	yor	Onísègùn ni mí.
3143491	yor	Onísègùn ni ẹ́.
3143493	yor	Onísègùn ni.
3143498	yor	Onísègùn ni wá.
3143500	yor	Onísègùn ni yín.
3143503	yor	Onísègùn ni wọ́n.
3154934	yor	Ìyàwó mi lọ sí oko.
3154939	yor	Owó rẹ̀ wà ní bánkì.
3154998	yor	Ó yà mí l'ẹ́nu.
3179086	yor	Agogo mejila ọsan.
3180913	yor	Mo fẹ́ rà ìwé.
3197736	yor	Ìwé kìí ṣe titun.
3348007	yor	Bawo ni?
3352025	yor	Ẹ̀gbẹ́ táa máa fi sùn lálẹ́, kò yẹ ká fi gbọgbẹ́ lọ́ọ̀sán.
3352030	yor	Ẹni tó bá ńjẹ nínú ọlà ẹnìkan nií pèé ní anímáṣaun.
3633484	yor	Mi ò fẹ́ lọ sí ilé-ẹ́kọ́.
3713961	yor	Ta ni Emily?
3713991	yor	Àwọn erékùṣù wà ní òkun.
3714005	yor	Mo ní àwọn arákunrin.
3808207	yor	Mo nifẹẹ rẹ.
3987395	yor	oji igbesi ayemi, Charles
4266589	yor	Burj Khalifa je agbar tó ga ju ni gbògbó ayè.
4535812	yor	Jack lorúkọ mi.
4536795	yor	Ṣé o lọ sọjà ni àna?
4536797	yor	Bẹ́ẹ̀ni.
4536800	yor	Mo lọ sí odò.
4641859	yor	Gidi gan?
5975778	yor	Mo nlọ s'étí òkun.
5978173	yor	Omi ni ayé.
8580237	yor	Èmi yóò dìde nísinsin yìí, èmi yóò sì rìn lọ káàkiri ìlú, ní àwọn òpópónà àti ní àwọn gbangba òde; Èmi yóò wá ẹni tí ọkàn mi fẹ́.
8773821	yor	A fẹ́ àwọn ọ̀rọ̀ ní gbólóhùn pípé.
10726770	yor	kò sí wahála.
10739589	yor	Tom ko fó nkan kan
10739593	yor	Kaabo padà sí ilé
10963734	yor	Ẹ káǎrọ̀.
10963735	yor	Káǎrọ̀.
10963805	yor	Ẹ rọra.
10963865	yor	Orúkọ mi ni Jack.
10963871	yor	Ẹ ṣé!
11207156	yor	Kí l'o fẹ́?
