2909151	hau	Ban gane ba.
2909152	hau	Zan koyama Hausa kai kuma ka koyaman Koriyanci.
2909155	hau	Idan kana jin yunwa sai kaci.
2909156	hau	Ina son inyi karatu kamin inyi barci.
2909157	hau	Ina son inbiya karatuna kamin inkwana.
2909165	hau	Ina son inci abincin koriya.
2909166	hau	Ina son cin abincin koriya.
2909172	hau	Dakin tom dan karami ne.
2909177	hau	Na rasa kyamarata kwanan baya.
2909178	hau	Kyamarata ta bata kwanan baya.
2909185	hau	Idan ka gama, ka mayar mini.
2909191	hau	Idan kacijeni kaima zan cijeka.
2909198	hau	Wannan fim din yanada kyau.
2909203	hau	Birninmu sai kara haɓaka yakeyi.
2909204	hau	Garinmu sai kara haɓaka yakeyi.
2909210	hau	Kana wasan ƙwallon ƙafa?
2909212	hau	Ina ne restaurant?
2909214	hau	Ina ne wajen da ake sayarda abinci?
2909215	hau	Ina ne wajen bahaya?
2909216	hau	Ina ne wajen kashi?
2910366	hau	Ina koyan yare biyu.
2910381	hau	Ina karatun faransanci. Ina kuma karatun jamananci.
2910392	hau	Ina karatun lissafi fiye da yarda nike karatun turanci.
2910401	hau	Nagode daka gayaman abinda bakaso. Yanzu zai zaman man dasauki inyaqeka.
2910402	hau	Nagode daka gayaman abinda bakaso. Yanzu zai zama mai sauqi gareni in yaqeka.
2910424	hau	Gada kaji kunya kawai kayiman magana.
2910458	hau	Kwarai kuwa zaka iya daukarsa idan kanaso.
2910476	hau	Yace yana jin yunwa ne kuma yanason zuwa gida don cin abinci dare.
2910479	hau	Dawakai sunfi karnukka girma, amma kyanwowi sunfi karnukka zama kanana.
2910481	hau	Kasan abinda yakamata kayi?
2910482	hau	Kasan abinda kake bukata kayi?
3178860	hau	Bamu zo ba.
3178868	hau	Ta dawo daga asibiti ne.
3179198	hau	Kayi tunani kafin ka faɗi haka?
3179436	hau	Yau sanyi da sauƙi.
3179437	hau	Ina ne ofishin jakadan Amirka?
3179439	hau	Na gode!
3188281	hau	Littafi ba sabo ba ne.
3494074	hau	Bari salama ta kasance a duniya.
3676548	hau	Barka da yamma.
3676550	hau	Ina so in sayi baƙa ne.
3676552	hau	Me yasa ba zaka sayi shuɗiya ba?
4639444	hau	Ka taɓa zuwa Paris?
4639452	hau	Bana bukatar komai.
4639461	hau	Ya yi shige tamkar ta mace.
4639478	hau	A ƙaro kofi, don Allah.
4639539	hau	Ba laifina ba ne.
4639728	hau	Na san za ka ce a'a.
4639729	hau	Na san za ki ce a'a.
4639731	hau	Na san za ku ce a'a.
4640121	hau	Tom ya tsorata sosai.
4641856	hau	Kule ya fito diga karkashin kujera.
4642370	hau	Babu wani dalilin tsorata.
4642418	hau	Wannan ba jumla ba ce.
5099855	hau	Angela Merkel yar siyasar kasar Jamus ce.
5099859	hau	Ka samu kyakkyawan doki.
5099864	hau	Tom bai da wata fahinta akan dalilin da shugaban sa ke son ganin sa.
5099868	hau	Wannan shine hakikanin abin da muke bukata.
5099871	hau	Na dade ban sadu da Tom ba.
5099875	hau	Ginin Burj Khalifa a yanzu shine gini mafi tsawo a duniya.
10580003	hau	Ina kwana
10580005	hau	Lapiya kalau
10580006	hau	Ina wuni
10580007	hau	Barka da asuba
10580008	hau	Barka da safiya
10580009	hau	Katashi lafiya
10580011	hau	Kintashi lafiya
10580012	hau	Ya kake
10580013	hau	Ya kike
10792069	hau	Wannan sabon abokinka ne?
10792070	hau	Rediyo bata yi bayani akan hatsarin ba.
10792071	hau	A ina aka dauki wadannan hotunan?
10792072	hau	Za ku bamu wannan?
10792073	hau	An fi saninsa a kai na.
10792074	hau	A sha daya sau hudu kowace rana, bayan cin abinci.
10792075	hau	Zan tafi Asturaliya a wannan lokacin na bazara.
10792076	hau	Kana da tabbaci?
10792077	hau	Idan ka bani dama zan yi bayani.
10792078	hau	Ina bukatar wanda zan yi magana da shi.
10804296	hau	Bana jin farin ciki, amma ba zan iya kashe kaina ba.
